uf,municipio
DF,BRASILIA
GO,ABADIA DE GOIAS
GO,ABADIANIA
GO,ACREUNA
GO,AGUA FRIA DE GOIAS
GO,AGUAS LINDAS DE GOIAS
GO,ALEXANIA
GO,ALTO HORIZONTE
GO,ALVORADA DO NORTE
GO,AMARALINA
GO,ANAPOLIS
GO,APARECIDA DE GOIANIA
GO,ARAGARCAS
GO,BARRO ALTO
GO,BOM JARDIM DE GOIAS
GO,BONOPOLIS
GO,CEZARINA
GO,CIDADE OCIDENTAL
GO,COCALZINHO DE GOIAS
GO,CRISTALINA
GO,FLORES DE GOIAS
GO,FORMOSA
GO,GOIANAPOLIS
GO,GOIANIA
GO,GOIAS
GO,GUAPO
GO,GUARANI DE GOIAS
GO,HIDROLANDIA
GO,INDIARA
GO,ITABERAI
GO,ITAGUARI
GO,ITAPIRAPUA
GO,JANDAIA
GO,JARAGUA
GO,JATAI
GO,JUSSARA
GO,LUZIANIA
GO,MARA ROSA
GO,MONTES CLAROS DE GOIAS
GO,PADRE BERNARDO
GO,PALMEIRAS DE GOIAS
GO,PIRENOPOLIS
GO,PORANGATU
GO,POSSE
GO,RIO VERDE
GO,SANTA FE DE GOIAS
GO,SANTA RITA DO NOVO DESTINO
GO,SANTO ANTONIO DA BARRA
GO,SANTO ANTONIO DE GOIAS
GO,SANTO ANTONIO DO DESCOBERTO
GO,SAO DOMINGOS
GO,SAO FRANCISCO DE GOIAS
GO,SAO MIGUEL DO ARAGUAIA
GO,SAO MIGUEL DO PASSA QUATRO
GO,SIMOLANDIA
GO,TEREZOPOLIS DE GOIAS
GO,TRINDADE
GO,URUACU
GO,VALPARAISO DE GOIAS
GO,VARJAO
GO,VILA BOA
GO,VILA PROPICIO
MG,ALFREDO VASCONCELOS
MG,ALMENARA
MG,BARAO DE COCAIS
MG,BARBACENA
MG,BELO HORIZONTE
MG,BRUMADINHO
MG,CABECEIRA GRANDE
MG,CAETANOPOLIS
MG,CAPIM BRANCO
MG,CARANAIBA
MG,CARANDAI
MG,CHIADOR
MG,CONGONHAS
MG,CONSELHEIRO LAFAIETE
MG,CONTAGEM
MG,CORINTO
MG,CRISTIANO OTONI
MG,CURVELO
MG,ESMERALDAS
MG,EWBANK DA CAMARA
MG,FELIXLANDIA
MG,ITABIRITO
MG,ITAOBIM
MG,JOAO PINHEIRO
MG,JUIZ DE FORA
MG,LAGOA GRANDE
MG,MATIAS BARBOSA
MG,MATOZINHOS
MG,MOEDA
MG,NOVA LIMA
MG,OLIVEIRA FORTES
MG,OURO PRETO
MG,PARACATU
MG,PARAOPEBA
MG,PEDRO LEOPOLDO
MG,POUSO ALEGRE
MG,RAPOSOS
MG,RESSAQUINHA
MG,RIBEIRAO DAS NEVES
MG,SANTA BARBARA
MG,SANTOS DUMONT
MG,SAO DOMINGOS DO PRATA
MG,SAO GONCALO DO ABAETE
MG,SETE LAGOAS
MG,SIMAO PEREIRA
MG,TEOFILO OTONI
MG,TRES MARIAS
